belief_in_model_cb,belief_in_model_cf,belief_in_interaction_strength_views_global,belief_in_interaction_strength_likes_global,belief_in_liked,belief_in_viewed,recall_at_5_hybrid_or_fuzzy_hybrid,recall_at_10_hybrid_or_fuzzy_hybrid,recall_at_5_cf,recall_at_10_cf,recall_at_5_cb,recall_at_10_cb,recall_at_5_pop,recall_at_10_pop
0,0,0,7,4,5,0.2606060606060606,0.3575757575757576,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.23333333333333334,0.8515151515151516,0.996969696969697
2,3,4,2,8,9,0.2636363636363636,0.36363636363636365,0.403030303030303,0.4303030303030303,0.20909090909090908,0.23333333333333334,0.8272727272727273,0.996969696969697
1,9,5,6,0,5,0.25757575757575757,0.35454545454545455,0.3878787878787879,0.4303030303030303,0.1393939393939394,0.17272727272727273,0.8151515151515152,0.9878787878787879
4,1,1,9,3,5,0.2636363636363636,0.3575757575757576,0.4121212121212121,0.4303030303030303,0.20606060606060606,0.23333333333333334,0.8515151515151516,1.0
7,8,3,5,5,5,0.2636363636363636,0.3575757575757576,0.4090909090909091,0.4303030303030303,0.20303030303030303,0.23333333333333334,0.8454545454545455,0.996969696969697
9,6,6,9,5,1,0.2606060606060606,0.3575757575757576,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.23333333333333334,0.8666666666666667,0.996969696969697
1,8,9,8,4,6,0.26666666666666666,0.3575757575757576,0.4121212121212121,0.4303030303030303,0.20303030303030303,0.23636363636363636,0.8454545454545455,0.996969696969697
9,2,7,4,0,1,0.2545454545454545,0.36363636363636365,0.38181818181818183,0.4303030303030303,0.1393939393939394,0.17272727272727273,0.8151515151515152,0.9878787878787879
2,7,3,0,2,5,0.2606060606060606,0.3606060606060606,0.40606060606060607,0.4303030303030303,0.20909090909090908,0.23030303030303031,0.8363636363636363,0.996969696969697
4,1,2,7,8,5,0.2636363636363636,0.3575757575757576,0.41515151515151516,0.4303030303030303,0.20606060606060606,0.22424242424242424,0.8454545454545455,0.9939393939393939
1,9,3,8,7,4,0.25757575757575757,0.35454545454545455,0.4090909090909091,0.4303030303030303,0.20909090909090908,0.23333333333333334,0.8393939393939394,0.9939393939393939
5,9,2,0,8,2,0.2636363636363636,0.3606060606060606,0.4121212121212121,0.4303030303030303,0.20606060606060606,0.22424242424242424,0.8454545454545455,0.9939393939393939
0,9,3,1,1,6,0.2696969696969697,0.35454545454545455,0.40606060606060607,0.4303030303030303,0.2,0.23333333333333334,0.8333333333333334,1.0
1,3,7,5,3,8,0.25757575757575757,0.35454545454545455,0.4090909090909091,0.4303030303030303,0.19696969696969696,0.23636363636363636,0.8515151515151516,1.0
9,7,9,3,9,7,0.26666666666666666,0.3575757575757576,0.40606060606060607,0.4303030303030303,0.20606060606060606,0.23333333333333334,0.8272727272727273,1.0
5,5,5,1,0,8,0.2545454545454545,0.36363636363636365,0.38484848484848483,0.4303030303030303,0.1393939393939394,0.17272727272727273,0.8212121212121212,0.9878787878787879
3,6,6,0,3,1,0.2606060606060606,0.3606060606060606,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.22727272727272727,0.8727272727272727,0.996969696969697
7,1,5,5,8,8,0.2636363636363636,0.36363636363636365,0.41515151515151516,0.4303030303030303,0.20909090909090908,0.22424242424242424,0.8454545454545455,0.9939393939393939
5,4,7,3,2,3,0.2636363636363636,0.3575757575757576,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.23333333333333334,0.8212121212121212,1.0
8,2,5,3,1,2,0.2636363636363636,0.3575757575757576,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.23333333333333334,0.8363636363636363,1.0
9,9,3,5,4,4,0.2636363636363636,0.3575757575757576,0.4090909090909091,0.4303030303030303,0.20303030303030303,0.23636363636363636,0.8454545454545455,0.996969696969697
9,6,0,7,8,0,0.2606060606060606,0.3575757575757576,0.4121212121212121,0.4303030303030303,0.18787878787878787,0.20909090909090908,0.8393939393939394,0.9939393939393939
0,0,5,5,0,1,0.2606060606060606,0.3575757575757576,0.38181818181818183,0.42727272727272725,0.1393939393939394,0.17272727272727273,0.8151515151515152,0.9878787878787879
5,0,2,2,7,9,0.26666666666666666,0.3575757575757576,0.4090909090909091,0.4303030303030303,0.2,0.23333333333333334,0.8242424242424242,0.9939393939393939
8,1,8,3,7,3,0.2606060606060606,0.3575757575757576,0.4090909090909091,0.4303030303030303,0.20909090909090908,0.23333333333333334,0.8333333333333334,1.0
9,9,9,4,8,2,0.2636363636363636,0.3575757575757576,0.41515151515151516,0.4303030303030303,0.20606060606060606,0.22424242424242424,0.8454545454545455,0.9939393939393939
1,7,5,2,4,9,0.2696969696969697,0.3575757575757576,0.403030303030303,0.4303030303030303,0.20303030303030303,0.23333333333333334,0.8454545454545455,0.996969696969697
2,9,8,8,7,8,0.2636363636363636,0.36363636363636365,0.403030303030303,0.4303030303030303,0.20909090909090908,0.22727272727272727,0.8363636363636363,0.996969696969697
8,9,0,7,9,4,0.2636363636363636,0.36363636363636365,0.41515151515151516,0.4303030303030303,0.20909090909090908,0.22727272727272727,0.8454545454545455,0.996969696969697
9,4,6,1,0,7,0.2606060606060606,0.3575757575757576,0.38181818181818183,0.4303030303030303,0.1393939393939394,0.17272727272727273,0.8181818181818182,0.9878787878787879
8,3,2,0,1,3,0.2696969696969697,0.3575757575757576,0.40606060606060607,0.4303030303030303,0.20606060606060606,0.23333333333333334,0.8575757575757575,0.996969696969697
5,0,1,2,8,7,0.26666666666666666,0.3575757575757576,0.40606060606060607,0.4303030303030303,0.20909090909090908,0.23333333333333334,0.8363636363636363,1.0
9,3,8,9,0,5,0.2545454545454545,0.36363636363636365,0.4,0.4303030303030303,0.1393939393939394,0.17272727272727273,0.8212121212121212,0.9878787878787879
8,4,4,6,9,9,0.2606060606060606,0.3606060606060606,0.4121212121212121,0.4303030303030303,0.20606060606060606,0.23333333333333334,0.8303030303030303,0.996969696969697
5,7,1,7,5,9,0.2606060606060606,0.3575757575757576,0.4121212121212121,0.4303030303030303,0.20606060606060606,0.23333333333333334,0.8121212121212121,0.996969696969697
6,1,2,0,2,3,0.2636363636363636,0.3606060606060606,0.4121212121212121,0.4303030303030303,0.20606060606060606,0.22424242424242424,0.8515151515151516,0.996969696969697
3,0,2,3,3,7,0.2636363636363636,0.36363636363636365,0.4121212121212121,0.4303030303030303,0.20909090909090908,0.22727272727272727,0.8515151515151516,0.996969696969697
9,8,2,4,1,5,0.2696969696969697,0.35454545454545455,0.4121212121212121,0.4303030303030303,0.20303030303030303,0.23333333333333334,0.8424242424242424,1.0
8,5,9,8,8,7,0.2606060606060606,0.3606060606060606,0.4090909090909091,0.4303030303030303,0.20909090909090908,0.23333333333333334,0.8363636363636363,1.0
0,8,9,9,8,4,0.2636363636363636,0.3575757575757576,0.4090909090909091,0.4303030303030303,0.2,0.23333333333333334,0.8242424242424242,1.0
7,0,8,7,3,6,0.2636363636363636,0.36363636363636365,0.4121212121212121,0.4303030303030303,0.20606060606060606,0.23030303030303031,0.8303030303030303,1.0
3,3,1,6,6,3,0.2636363636363636,0.3606060606060606,0.4121212121212121,0.4303030303030303,0.20606060606060606,0.22424242424242424,0.8424242424242424,0.9939393939393939
5,3,1,4,2,3,0.2636363636363636,0.3606060606060606,0.4121212121212121,0.4303030303030303,0.20606060606060606,0.22424242424242424,0.8515151515151516,0.996969696969697
4,1,0,8,2,7,0.2636363636363636,0.3575757575757576,0.41515151515151516,0.4303030303030303,0.20909090909090908,0.23030303030303031,0.8515151515151516,0.996969696969697
3,3,8,3,5,3,0.2636363636363636,0.3606060606060606,0.41515151515151516,0.4303030303030303,0.20606060606060606,0.22424242424242424,0.8212121212121212,0.996969696969697
6,6,8,4,6,9,0.26666666666666666,0.3575757575757576,0.4090909090909091,0.4303030303030303,0.2,0.23636363636363636,0.8242424242424242,0.9939393939393939
0,5,9,8,2,6,0.2636363636363636,0.3575757575757576,0.4090909090909091,0.4303030303030303,0.2,0.23030303030303031,0.8363636363636363,1.0
4,9,8,7,4,7,0.2636363636363636,0.3575757575757576,0.40606060606060607,0.4303030303030303,0.20909090909090908,0.22727272727272727,0.8515151515151516,0.9939393939393939
9,7,2,4,4,8,0.26666666666666666,0.3575757575757576,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.23030303030303031,0.8212121212121212,0.996969696969697
5,6,0,2,5,8,0.2636363636363636,0.36363636363636365,0.403030303030303,0.4303030303030303,0.21212121212121213,0.23333333333333334,0.8242424242424242,0.996969696969697
4,8,3,5,5,8,0.2636363636363636,0.36363636363636365,0.40606060606060607,0.4303030303030303,0.21212121212121213,0.23333333333333334,0.8242424242424242,0.996969696969697
5,4,2,3,9,0,0.2636363636363636,0.3575757575757576,0.4121212121212121,0.4303030303030303,0.18787878787878787,0.20909090909090908,0.8424242424242424,0.9939393939393939
6,8,6,7,4,7,0.2696969696969697,0.3575757575757576,0.40606060606060607,0.4303030303030303,0.20909090909090908,0.22727272727272727,0.8515151515151516,0.9939393939393939
0,0,7,0,0,1,0.2606060606060606,0.3575757575757576,0.3787878787878788,0.4303030303030303,0.1393939393939394,0.17272727272727273,0.8151515151515152,0.9878787878787879
3,1,5,2,3,6,0.2636363636363636,0.3575757575757576,0.40606060606060607,0.4303030303030303,0.20606060606060606,0.23030303030303031,0.8303030303030303,1.0
7,5,1,9,1,4,0.2696969696969697,0.35454545454545455,0.4090909090909091,0.4303030303030303,0.20303030303030303,0.23636363636363636,0.8424242424242424,1.0
7,4,1,8,2,4,0.2636363636363636,0.3575757575757576,0.40606060606060607,0.4303030303030303,0.20606060606060606,0.23030303030303031,0.8333333333333334,1.0
1,9,7,0,9,2,0.25757575757575757,0.35454545454545455,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.22424242424242424,0.8515151515151516,0.9939393939393939
3,7,2,2,6,3,0.2636363636363636,0.3606060606060606,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.22424242424242424,0.8424242424242424,0.9939393939393939
6,8,7,5,0,4,0.2696969696969697,0.3575757575757576,0.37575757575757573,0.4303030303030303,0.1393939393939394,0.17272727272727273,0.8181818181818182,0.9878787878787879
2,0,3,9,0,3,0.2545454545454545,0.36363636363636365,0.39090909090909093,0.4303030303030303,0.1393939393939394,0.17272727272727273,0.8181818181818182,0.9878787878787879
8,3,8,1,7,4,0.2696969696969697,0.3575757575757576,0.4121212121212121,0.4303030303030303,0.2,0.23636363636363636,0.8333333333333334,0.996969696969697
6,3,7,0,9,0,0.25757575757575757,0.35454545454545455,0.4121212121212121,0.4303030303030303,0.18787878787878787,0.20909090909090908,0.8424242424242424,0.9939393939393939
1,5,7,3,8,3,0.2636363636363636,0.36363636363636365,0.41515151515151516,0.4303030303030303,0.20909090909090908,0.22424242424242424,0.8363636363636363,0.996969696969697
2,6,0,7,4,1,0.2636363636363636,0.36363636363636365,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.22424242424242424,0.8515151515151516,0.9939393939393939
4,6,1,8,8,1,0.2636363636363636,0.36363636363636365,0.41515151515151516,0.4303030303030303,0.20909090909090908,0.22424242424242424,0.8363636363636363,0.996969696969697
4,0,3,2,3,4,0.2606060606060606,0.3575757575757576,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.23333333333333334,0.8272727272727273,1.0
5,9,8,5,6,5,0.2636363636363636,0.3606060606060606,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.23333333333333334,0.8242424242424242,0.9939393939393939
8,7,0,1,9,0,0.25757575757575757,0.35454545454545455,0.41515151515151516,0.4303030303030303,0.18787878787878787,0.20909090909090908,0.8424242424242424,0.9939393939393939
3,7,9,1,2,6,0.2636363636363636,0.3606060606060606,0.4090909090909091,0.4303030303030303,0.2,0.23030303030303031,0.8363636363636363,1.0
3,9,6,4,7,8,0.26666666666666666,0.3575757575757576,0.4090909090909091,0.4303030303030303,0.2,0.23636363636363636,0.8333333333333334,0.996969696969697
9,9,9,7,7,1,0.2636363636363636,0.3575757575757576,0.41515151515151516,0.4303030303030303,0.20909090909090908,0.22424242424242424,0.8393939393939394,0.996969696969697
8,1,8,3,8,2,0.2606060606060606,0.3575757575757576,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.23333333333333334,0.8212121212121212,1.0
1,6,9,3,1,4,0.2636363636363636,0.3575757575757576,0.40606060606060607,0.4303030303030303,0.20606060606060606,0.23030303030303031,0.8393939393939394,0.996969696969697
0,4,3,5,7,2,0.2636363636363636,0.36363636363636365,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.23333333333333334,0.8454545454545455,1.0
4,6,4,5,4,1,0.2636363636363636,0.36363636363636365,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.23030303030303031,0.8393939393939394,0.996969696969697
9,8,1,7,5,4,0.2696969696969697,0.35454545454545455,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.23030303030303031,0.8454545454545455,1.0
1,0,6,9,6,2,0.2636363636363636,0.36363636363636365,0.4090909090909091,0.4303030303030303,0.20909090909090908,0.23030303030303031,0.8424242424242424,0.9939393939393939
2,1,4,2,0,7,0.2545454545454545,0.36363636363636365,0.3878787878787879,0.4303030303030303,0.1393939393939394,0.17272727272727273,0.8181818181818182,0.9878787878787879
2,0,9,8,5,3,0.2545454545454545,0.36363636363636365,0.4,0.4303030303030303,0.20303030303030303,0.23333333333333334,0.8515151515151516,1.0
8,6,5,1,7,2,0.2606060606060606,0.3575757575757576,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.23333333333333334,0.8454545454545455,1.0
7,4,8,3,0,8,0.2636363636363636,0.3575757575757576,0.38484848484848483,0.42727272727272725,0.1393939393939394,0.17272727272727273,0.8212121212121212,0.9878787878787879
3,6,6,8,9,9,0.2606060606060606,0.3606060606060606,0.41515151515151516,0.4303030303030303,0.20909090909090908,0.23333333333333334,0.8303030303030303,0.996969696969697
5,8,6,7,7,3,0.2636363636363636,0.3575757575757576,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.23030303030303031,0.8333333333333334,0.996969696969697
0,2,9,7,3,4,0.2636363636363636,0.3606060606060606,0.4121212121212121,0.4303030303030303,0.20606060606060606,0.22424242424242424,0.8515151515151516,0.996969696969697
5,4,8,4,7,4,0.2636363636363636,0.3575757575757576,0.41515151515151516,0.4303030303030303,0.20909090909090908,0.22424242424242424,0.8333333333333334,0.996969696969697
1,7,3,4,4,3,0.2696969696969697,0.3575757575757576,0.40606060606060607,0.4303030303030303,0.20303030303030303,0.23333333333333334,0.8424242424242424,0.996969696969697
9,2,0,0,9,5,0.2545454545454545,0.36363636363636365,0.41515151515151516,0.4303030303030303,0.20606060606060606,0.22424242424242424,0.8515151515151516,0.9939393939393939
5,5,1,1,0,0,0.2545454545454545,0.36363636363636365,0.403030303030303,0.4303030303030303,0.006060606060606061,0.006060606060606061,0.8151515151515152,0.990909090909091
9,1,2,3,4,0,0.25757575757575757,0.35454545454545455,0.41515151515151516,0.4303030303030303,0.18787878787878787,0.20909090909090908,0.8575757575757575,0.996969696969697

4,4,8,1,0,6,0.2545454545454545,0.36363636363636365,0.38484848484848483,0.4303030303030303,0.1393939393939394,0.17272727272727273,0.8181818181818182,0.9878787878787879

4,0,8,4,4,3,0.2606060606060606,0.3575757575757576,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.23333333333333334,0.8393939393939394,0.996969696969697
4,3,5,3,6,2,0.2606060606060606,0.3575757575757576,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.23333333333333334,0.8333333333333334,0.996969696969697
1,4,2,3,5,3,0.2636363636363636,0.3575757575757576,0.40606060606060607,0.4303030303030303,0.20606060606060606,0.23333333333333334,0.8515151515151516,1.0
1,2,1,3,2,1,0.2636363636363636,0.3575757575757576,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.23030303030303031,0.8484848484848485,1.0
6,4,9,2,0,7,0.2545454545454545,0.36363636363636365,0.38484848484848483,0.42727272727272725,0.1393939393939394,0.17272727272727273,0.8181818181818182,0.9878787878787879
0,0,1,4,4,4,0.2606060606060606,0.3575757575757576,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.23333333333333334,0.8454545454545455,0.996969696969697
7,5,2,8,7,2,0.2696969696969697,0.35454545454545455,0.403030303030303,0.4303030303030303,0.20606060606060606,0.22727272727272727,0.8303030303030303,0.9939393939393939
0,4,8,0,7,7,0.2636363636363636,0.36363636363636365,0.40606060606060607,0.4303030303030303,0.20909090909090908,0.22727272727272727,0.8303030303030303,0.9939393939393939
6,0,7,8,1,5,0.2636363636363636,0.3575757575757576,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.23030303030303031,0.8515151515151516,0.996969696969697
5,6,8,5,3,3,0.2636363636363636,0.36363636363636365,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.23333333333333334,0.8454545454545455,1.0
3,9,2,6,6,0,0.26666666666666666,0.3575757575757576,0.41515151515151516,0.4303030303030303,0.18787878787878787,0.20909090909090908,0.8606060606060606,0.996969696969697
7,0,9,0,3,5,0.2636363636363636,0.36363636363636365,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.22727272727272727,0.8727272727272727,0.996969696969697
8,3,7,7,0,2,0.2696969696969697,0.3575757575757576,0.396969696969697,0.4303030303030303,0.1393939393939394,0.17272727272727273,0.8181818181818182,0.9878787878787879
7,2,3,6,5,4,0.2606060606060606,0.3575757575757576,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.23030303030303031,0.8454545454545455,1.0
5,6,9,1,2,3,0.2636363636363636,0.36363636363636365,0.4090909090909091,0.4303030303030303,0.20303030303030303,0.23636363636363636,0.8515151515151516,1.0
5,0,4,8,0,2,0.26666666666666666,0.3575757575757576,0.3787878787878788,0.4303030303030303,0.1393939393939394,0.17272727272727273,0.8181818181818182,0.9878787878787879
6,5,3,3,4,6,0.2636363636363636,0.3575757575757576,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.23030303030303031,0.8454545454545455,1.0
5,6,1,8,0,8,0.2636363636363636,0.36363636363636365,0.3939393939393939,0.42727272727272725,0.1393939393939394,0.17272727272727273,0.8212121212121212,0.9878787878787879
9,4,0,0,7,6,0.2606060606060606,0.3575757575757576,0.40606060606060607,0.4303030303030303,0.20909090909090908,0.22424242424242424,0.8303030303030303,0.9939393939393939
6,1,1,5,6,3,0.2636363636363636,0.3606060606060606,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.23333333333333334,0.8424242424242424,0.996969696969697
1,0,7,9,5,2,0.2636363636363636,0.36363636363636365,0.4121212121212121,0.4303030303030303,0.20303030303030303,0.23333333333333334,0.8515151515151516,1.0
2,1,1,7,3,5,0.2545454545454545,0.36363636363636365,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.22727272727272727,0.8727272727272727,0.996969696969697
9,2,6,0,9,3,0.2545454545454545,0.36363636363636365,0.4121212121212121,0.4303030303030303,0.20606060606060606,0.22424242424242424,0.8515151515151516,0.996969696969697
4,8,4,9,3,7,0.2636363636363636,0.36363636363636365,0.40606060606060607,0.4303030303030303,0.2,0.23333333333333334,0.8515151515151516,1.0
2,8,2,0,1,4,0.2636363636363636,0.3575757575757576,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.23030303030303031,0.8424242424242424,0.996969696969697


0,7,3,5,1,5,0.2636363636363636,0.3575757575757576,0.40606060606060607,0.4303030303030303,0.20606060606060606,0.23030303030303031,0.8545454545454545,1.0



3,8,3,1,8,4,0.2606060606060606,0.3575757575757576,0.4090909090909091,0.4303030303030303,0.20909090909090908,0.23333333333333334,0.8363636363636363,0.996969696969697
8,5,8,0,8,2,0.2606060606060606,0.3606060606060606,0.403030303030303,0.4303030303030303,0.20909090909090908,0.22727272727272727,0.8545454545454545,0.9939393939393939
3,7,5,3,0,3,0.2636363636363636,0.3606060606060606,0.3787878787878788,0.4303030303030303,0.1393939393939394,0.17272727272727273,0.8181818181818182,0.9878787878787879
8,2,7,6,4,6,0.2636363636363636,0.3575757575757576,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.23333333333333334,0.8333333333333334,0.996969696969697


9,6,0,7,3,1,0.2606060606060606,0.3575757575757576,0.40606060606060607,0.4303030303030303,0.20606060606060606,0.22424242424242424,0.8515151515151516,0.996969696969697
0,4,6,8,3,6,0.2636363636363636,0.36363636363636365,0.40606060606060607,0.4303030303030303,0.20606060606060606,0.22424242424242424,0.8515151515151516,0.996969696969697
4,2,4,5,4,5,0.2636363636363636,0.3575757575757576,0.40606060606060607,0.4303030303030303,0.20606060606060606,0.22424242424242424,0.8515151515151516,0.996969696969697
0,2,5,5,9,4,0.2636363636363636,0.3606060606060606,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.22424242424242424,0.8515151515151516,0.996969696969697
3,1,9,8,9,9,0.2636363636363636,0.3575757575757576,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.22424242424242424,0.8515151515151516,0.996969696969697
9,5,0,0,2,8,0.2636363636363636,0.3575757575757576,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.22424242424242424,0.8515151515151516,0.996969696969697
9,1,6,6,3,9,0.25757575757575757,0.35454545454545455,0.40606060606060607,0.4303030303030303,0.20606060606060606,0.22424242424242424,0.8515151515151516,0.996969696969697



6,0,9,8,7,0,0.2636363636363636,0.3575757575757576,0.40606060606060607,0.4303030303030303,0.20606060606060606,0.22424242424242424,0.8515151515151516,0.996969696969697
1,1,5,9,5,9,0.2636363636363636,0.3575757575757576,0.40606060606060607,0.4303030303030303,0.20606060606060606,0.22424242424242424,0.8515151515151516,0.996969696969697
4,7,1,4,7,9,0.2636363636363636,0.3575757575757576,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.22424242424242424,0.8515151515151516,0.996969696969697
6,2,8,6,0,9,0.2636363636363636,0.3575757575757576,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.22424242424242424,0.8515151515151516,0.996969696969697
5,1,3,9,7,9,0.2636363636363636,0.3575757575757576,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.22424242424242424,0.8515151515151516,0.996969696969697
3,3,6,7,6,5,0.2636363636363636,0.3606060606060606,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.22424242424242424,0.8515151515151516,0.996969696969697
2,5,7,4,4,3,0.2636363636363636,0.3575757575757576,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.22424242424242424,0.8515151515151516,0.996969696969697
7,2,8,4,3,9,0.2606060606060606,0.3575757575757576,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.22424242424242424,0.8515151515151516,0.996969696969697
1,0,9,3,2,8,0.2636363636363636,0.36363636363636365,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.22424242424242424,0.8515151515151516,0.996969696969697
8,5,0,5,9,1,0.2606060606060606,0.3606060606060606,0.40606060606060607,0.4303030303030303,0.20606060606060606,0.22424242424242424,0.8515151515151516,0.996969696969697
2,3,0,9,8,2,0.2636363636363636,0.36363636363636365,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.22424242424242424,0.8515151515151516,0.996969696969697
5,3,4,7,5,3,0.2636363636363636,0.3606060606060606,0.40606060606060607,0.4303030303030303,0.20606060606060606,0.22424242424242424,0.8515151515151516,0.996969696969697
5,1,1,6,9,8,0.2636363636363636,0.3575757575757576,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.22424242424242424,0.8515151515151516,0.996969696969697
